,Date,low_adj,high_adj,open_adj,close_adj,volume,stock
4190,2017-06-22,10368.9,10403.4,10369.1,10399.1,4738922,Y9999
4191,2017-06-23,10374.0,10422.3,10403.6,10377.7,4289799,Y9999
4192,2017-06-26,10341.9,10514.0,10341.9,10514.0,5791622,Y9999
4193,2017-06-27,10489.1,10545.7,10513.0,10512.1,5598438,Y9999
4194,2017-06-28,10382.8,10459.2,10459.2,10390.5,6023213,Y9999
4195,2017-06-29,10390.9,10476.5,10442.2,10421.7,5402821,Y9999
4196,2017-06-30,10329.8,10395.1,10367.3,10395.1,4536306,Y9999
4197,2017-07-03,10363.5,10412.8,10369.0,10412.8,4453084,Y9999
4198,2017-07-04,10347.8,10421.7,10397.9,10347.8,4893991,Y9999
4199,2017-07-05,10304.7,10404.8,10352.4,10404.8,4293552,Y9999
4200,2017-07-06,10336.3,10381.2,10380.7,10368.2,3994714,Y9999
4201,2017-07-07,10294.7,10343.3,10343.3,10297.3,3741612,Y9999
4202,2017-07-10,10284.0,10331.1,10310.7,10289.9,3961608,Y9999
4203,2017-07-11,10313.1,10415.6,10313.1,10415.6,4808364,Y9999
4204,2017-07-12,10393.5,10450.9,10397.0,10420.7,5099777,Y9999
4205,2017-07-13,10418.7,10485.3,10418.7,10460.2,5724517,Y9999
4206,2017-07-14,10423.4,10466.3,10450.9,10443.9,4863496,Y9999
4207,2017-07-17,10436.3,10490.0,10467.3,10457.5,4824543,Y9999
4208,2017-07-18,10429.9,10481.3,10447.5,10481.3,4840898,Y9999
4209,2017-07-19,10472.8,10537.4,10472.8,10506.1,5429199,Y9999
4210,2017-07-20,10483.5,10534.5,10513.1,10499.4,5016236,Y9999
4211,2017-07-21,10428.6,10477.7,10468.5,10436.7,4167695,Y9999
4212,2017-07-24,10406.8,10461.3,10426.1,10461.3,3935837,Y9999
4213,2017-07-25,10442.9,10474.0,10455.1,10463.2,4566876,Y9999
4214,2017-07-26,10416.6,10500.1,10477.2,10419.1,5320582,Y9999
4215,2017-07-27,10427.8,10516.2,10427.8,10508.4,5521768,Y9999
4216,2017-07-28,10410.5,10480.7,10480.7,10423.0,4504894,Y9999
4217,2017-07-31,10366.2,10427.3,10396.8,10427.3,4379828,Y9999
4218,2017-08-01,10408.5,10470.0,10408.5,10437.3,5390357,Y9999
4219,2017-08-02,10479.3,10519.3,10479.3,10519.3,5537089,Y9999
4220,2017-08-03,10427.7,10478.6,10464.1,10469.9,5014480,Y9999
4221,2017-08-04,10466.3,10510.7,10471.0,10506.6,5216082,Y9999
4222,2017-08-07,10521.7,10592.3,10521.7,10579.4,5672576,Y9999
4223,2017-08-08,10533.7,10619.4,10598.6,10569.0,5985191,Y9999
4224,2017-08-09,10457.5,10536.2,10523.5,10470.4,5456480,Y9999
4225,2017-08-10,10303.5,10477.8,10470.0,10329.7,6392060,Y9999
4226,2017-08-11,10238.5,10338.1,10267.0,10329.6,5864918,Y9999
4227,2017-08-14,10225.3,10365.2,10347.7,10225.3,5432947,Y9999
4228,2017-08-15,10271.0,10336.2,10271.0,10311.2,5054840,Y9999
4229,2017-08-16,10245.7,10322.4,10302.8,10290.4,5191539,Y9999
4230,2017-08-17,10302.5,10372.4,10302.5,10369.4,5616791,Y9999
4231,2017-08-18,10259.8,10330.4,10324.8,10321.3,5044204,Y9999
4232,2017-08-21,10282.7,10336.4,10316.1,10326.4,4578949,Y9999
4233,2017-08-22,10353.4,10410.5,10353.4,10392.1,5549157,Y9999
4234,2017-08-23,10378.0,10458.9,10418.3,10406.8,5641405,Y9999
4235,2017-08-24,10410.7,10489.0,10414.7,10489.0,5808139,Y9999
4236,2017-08-25,10478.7,10519.8,10497.9,10515.5,6024909,Y9999
4237,2017-08-28,10498.9,10542.4,10502.8,10526.0,5890372,Y9999
4238,2017-08-29,10463.2,10518.7,10518.7,10496.6,5814380,Y9999
4239,2017-08-30,10511.6,10574.5,10511.6,10569.4,5901288,Y9999
4240,2017-08-31,10552.0,10609.5,10586.7,10585.8,5945548,Y9999
4241,2017-09-01,10568.7,10619.5,10576.3,10594.8,6064861,Y9999
4242,2017-09-04,10555.3,10610.0,10585.4,10569.9,5498749,Y9999
4243,2017-09-05,10564.3,10617.8,10584.1,10617.8,5873609,Y9999
4244,2017-09-06,10519.7,10604.9,10593.9,10547.9,6210529,Y9999
4245,2017-09-07,10509.9,10604.0,10564.8,10538.5,6412690,Y9999
4246,2017-09-08,10550.7,10610.0,10553.9,10610.0,5779683,Y9999
4247,2017-09-11,10565.8,10656.3,10630.2,10572.2,5920435,Y9999
4248,2017-09-12,10586.3,10646.5,10610.3,10610.4,5769101,Y9999
4249,2017-09-13,10532.9,10620.3,10596.4,10532.9,5853111,Y9999
4250,2017-09-14,10508.7,10572.7,10534.0,10553.6,5522954,Y9999
4251,2017-09-15,10520.2,10580.8,10556.8,10580.4,6482820,Y9999
4252,2017-09-18,10581.8,10642.4,10590.8,10631.6,6950033,Y9999
4253,2017-09-19,10561.2,10664.2,10653.3,10576.1,6625270,Y9999
4254,2017-09-20,10490.7,10589.2,10568.6,10519.2,5895804,Y9999
4255,2017-09-21,10494.0,10603.1,10506.9,10578.4,5569265,Y9999
4256,2017-09-22,10446.5,10579.0,10571.7,10449.7,5727401,Y9999
4257,2017-09-25,10322.1,10447.1,10442.0,10335.9,5784894,Y9999
